Date,Brine_In,Brine_Out,Initial_Concentration_(gpl)
01-04-2025,151430,165132,0.25
02-04-2025,167890,157432,0.25
03-04-2025,148032,169264,0.24
04-04-2025,136441,156416,0.24
05-04-2025,150439,169572,0.24
06-04-2025,167656,159768,0.23
07-04-2025,167125,163656,0.23
08-04-2025,170999,165620,0.23
09-04-2025,166737,164924,0.22
10-04-2025,159871,154954,0.22
11-04-2025,162088,149632,0.22
12-04-2025,166657,165960,0.22
13-04-2025,176214,148728,0.22
14-04-2025,178873,155236,0.22
15-04-2025,153769,147460,0.24
16-04-2025,124216,173472,0.22
17-04-2025,143009,165728,0.22
18-04-2025,123404,158548,0.23
19-04-2025,150712,158440,0.23
20-04-2025,138285,162594,0.23
21-04-2025,140150,150616,0.24
22-04-2025,145408,154272,0.24
23-04-2025,160691,163810,0.24
24-04-2025,140336,154928,0.24
25-04-2025,158571,166832,0.25
26-04-2025,150454,154936,0.24
27-04-2025,151424,150876,0.21
28-04-2025,177110,166388,0.25
29-04-2025,198686,149244,0.27
30-04-2025,196001,163416,0.28
01-05-2025,232125,157320,0.3
02-05-2025,240474,161984,0.34
03-05-2025,242534,158712,0.34
04-05-2025,186962,164920,0.3
05-05-2025,221408,165464,0.3
06-05-2025,199313,163068,0.29
07-05-2025,219895,152304,0.28
08-05-2025,246219,163372,0.3
09-05-2025,246257,137464,0.3
10-05-2025,287981,131336,0.31
11-05-2025,382559,152172,0.33
12-05-2025,417142,133672,0.33
13-05-2025,435549,163624,0.31
14-05-2025,384174,164166,0.33
15-05-2025,297891,159452,0.28
16-05-2025,195204,162224,0.28
17-05-2025,190373,154028,0.28
18-05-2025,204080,163274,0.28
19-05-2025,185506,155584,0.25
20-05-2025,158098,140164,0.3
21-05-2025,138198,160355,0.27
22-05-2025,127051,155420,0.27
23-05-2025,129022,155832,0.29
24-05-2025,166518,127819,0.3
25-05-2025,148134,58412,0.3
26-05-2025,182871,167624,0.35
27-05-2025,241200,161332,0.31
28-05-2025,296591,165416,0.29
29-05-2025,351412,150832,0.28
30-05-2025,538490,164284,0.22
31-05-2025,714915,161792,0.24
01-06-2025,954346,162396,0.22
02-06-2025,895856,160180,0.22
03-06-2025,903046,162184,0.24
04-06-2025,833283,153364,0.27
05-06-2025,798181,161610,0.23
06-06-2025,711257,153752,0.27
07-06-2025,649715,132424,0.27
08-06-2025,594927,138520,0.29
09-06-2025,486717,94100,0.29
10-06-2025,603486,152800,0.31
11-06-2025,563952,154454,0.33
12-06-2025,519379,153616,0.32
13-06-2025,528621,147076,0.31
14-06-2025,567977,156934,0.31
15-06-2025,555841,159044,0.29
16-06-2025,620571,148332,0.28
17-06-2025,475170,126716,0.27
18-06-2025,842396,134400,0.28
19-06-2025,795989,162700,0.29
20-06-2025,719703,170060,0.3
21-06-2025,683030,162892,0.31
22-06-2025,511989,173064,0.32
23-06-2025,541797,162760,0.32
24-06-2025,501626,162832,0.33
25-06-2025,506228,140284,0.33
26-06-2025,469205,153508,0.34
27-06-2025,755410,155372,0.32
28-06-2025,699853,155732,0.36
29-06-2025,704827,170168,0.26
30-06-2025,679588,158073,0.25
