Date,Brine_In,Brine_Out,Initial_Concentration_(gpl)
01-07-2025,393075,166505,0.32
02-07-2025,545885,158272,0.33
03-07-2025,494366,172966,0.27
04-07-2025,424124,160704,0.29
05-07-2025,442538,174420,0.29
06-07-2025,446290,159977,0.29
07-07-2025,395749,169943,0.29
08-07-2025,367869,144256,0.32
09-07-2025,408815,173644,0.32
10-07-2025,259003,148420,0.27
11-07-2025,420368,174323,0.27
12-07-2025,553634,164188,0.22
13-07-2025,461182,174328,0.26
14-07-2025,390057,159540,0.26
15-07-2025,486330,173548,0.26
16-07-2025,397215,162312,0.27
17-07-2025,417042,146836,0.26
18-07-2025,485605,159584,0.26
19-07-2025,348522,148180,0.24
20-07-2025,481265,157160,0.17
21-07-2025,412453,172884,0.17
22-07-2025,441497,156896,0.25
23-07-2025,451193,169380,0.24
24-07-2025,364987,159416,0.23
25-07-2025,382617,145420,0.27
26-07-2025,365355,48720,0.21
27-07-2025,430435,171576,0.21
28-07-2025,486663,168592,0.21
29-07-2025,653624,161026,0.27
30-07-2025,631295,142753,0.19
31-07-2025,426856,160828,0.19
01-08-2025,537596,170804,0.17
02-08-2025,570404,162543,0.15
03-08-2025,686033,175536,0.18
04-08-2025,618353,164259,0.19
05-08-2025,673642,177216,0.2
06-08-2025,518301,164496,0.27
07-08-2025,543427,172468,0.22
08-08-2025,566341,163255,0.22
09-08-2025,590149,176049,0.2
10-08-2025,669672,164740,0.18
11-08-2025,692772,177560,0.2
12-08-2025,775059,164540,0.2
13-08-2025,761718,176724,0.2
14-08-2025,742043,148644,0.2
15-08-2025,780199,174903,0.2
16-08-2025,717113,165962,0.2
17-08-2025,735773,179024,0.2
18-08-2025,723353,162377,0.21
19-08-2025,668114,177032,0.2
20-08-2025,533810,159969,0.24
21-08-2025,646008,176148,0.22
22-08-2025,624811,164220,0.23
23-08-2025,584041,174688,0.23
24-08-2025,539418,163324,0.24
25-08-2025,416109,174732,0.24
26-08-2025,339962,162383,0.24
27-08-2025,0,109380,
28-08-2025,0,170753,
29-08-2025,0,153604,
30-08-2025,0,168280,
31-08-2025,0,166300,
01-09-2025,0,161872,
02-09-2025,0,177218,
03-09-2025,32788,163300,0.23
04-09-2025,64230,174540,0.16
05-09-2025,0,173700,
06-09-2025,0,155288,
07-09-2025,0,172508,
08-09-2025,0,174880,
09-09-2025,0,160012,
10-09-2025,0,170480,
11-09-2025,0,160444,
12-09-2025,0,168364,
13-09-2025,81416,172020,0.14
14-09-2025,92821,159792,0.11
15-09-2025,86536,172544,0.14
16-09-2025,69611,165328,0.13
17-09-2025,146659,164031,0.12
18-09-2025,184622,155236,0.12
19-09-2025,235474,165788,0.12
20-09-2025,281869,162125,0.12
21-09-2025,301830,168212,0.12
22-09-2025,286104,173344,0.12
23-09-2025,291854,160544,0.13
24-09-2025,257111,174396,0.15
25-09-2025,223431,173324,0.14
26-09-2025,231065,164184,0.12
27-09-2025,284390,171700,0.12
28-09-2025,362348,154576,0.14
29-09-2025,233210,156266,0.14
30-09-2025,354899,175784,0.13
