Date,Brine_In,Brine_Out,Initial_Concentration_(gpl)
01-10-2025,385745,174408,0.16
02-10-2025,477710,138308,0.17
03-10-2025,497099,163212,0.17
04-10-2025,538539,174856,0.16
05-10-2025,544620,173260,0.15
06-10-2025,410687,157572,0.17
07-10-2025,398974,175356,0.17
08-10-2025,375408,172828,0.2
09-10-2025,369363,165628,0.14
10-10-2025,450014,174777,0.14
11-10-2025,576536,170392,0.13
12-10-2025,621571,160976,0.12
13-10-2025,753582,169164,0.14
14-10-2025,691941,174484,0.15
15-10-2025,719264,160208,0.15
16-10-2025,668862,173748,0.14
17-10-2025,791370,171012,0.14
18-10-2025,876442,173580,0.14
19-10-2025,884489,153280,0.14
20-10-2025,890588,163256,0.14
21-10-2025,649846,169428,0.14
22-10-2025,360169,156536,0.16
23-10-2025,512655,157660,0.16
24-10-2025,720173,174140,0.14
25-10-2025,795283,175036,0.14
26-10-2025,979108,162164,0.17
27-10-2025,953388,167636,0.17
28-10-2025,885843,163440,0.18
29-10-2025,923504,161024,0.17
30-10-2025,994963,162448,0.17
31-10-2025,1174158,155888,0.19
01-11-2025,1218339,162576,0.17
02-11-2025,1189194,157516,0.17
03-11-2025,1199448,169104,0.19
04-11-2025,1198968,170252,0.17
05-11-2025,1089058,159652,0.17
06-11-2025,1109124,171120,0.2
07-11-2025,1067430,170732,0.2
08-11-2025,1073718,150195,0.19
09-11-2025,1042729,166964,0.18
10-11-2025,1060605,167848,0.2
11-11-2025,960939,148992,0.18
12-11-2025,1019259,151929,0.18
13-11-2025,959827,161644,0.18
14-11-2025,913108,153740,0.18
15-11-2025,865921,163728,0.19
16-11-2025,736192,138392,0.2
17-11-2025,769553,156720,0.19
18-11-2025,757221,166772,0.19
19-11-2025,757778,157268,0.21
20-11-2025,763743,149061,0.21
21-11-2025,713312,163664,0.23
22-11-2025,624834,131076,0.23
23-11-2025,570600,162900,0.22
24-11-2025,421208,157237,0.22
25-11-2025,297794,133500,0.22
26-11-2025,241110,145864,0.22
27-11-2025,207857,145840,0.24
28-11-2025,203428,148864,0.24
29-11-2025,195785,151976,0.22
30-11-2025,178444,163762,0.22
01-12-2025,205406,152096,0.22
02-12-2025,270593,164232,0.21
03-12-2025,328813,163984,0.23
04-12-2025,365707,150968,0.24
05-12-2025,266106,149712,0.24
06-12-2025,223172,166152,0.22
07-12-2025,153592,153232,0.22
08-12-2025,147767,166224,0.22
09-12-2025,105762,168716,0.22
10-12-2025,37760,137364,
11-12-2025,28752,34144,
12-12-2025,71774,142656,
13-12-2025,212145,143448,0.23
14-12-2025,214714,158156,0.23
15-12-2025,171667,153172,0.23
16-12-2025,165340,164288,0.22
17-12-2025,149392,164388,0.22
18-12-2025,181716,155594,0.23
19-12-2025,181496,157021,0.23
20-12-2025,179386,167980,0.22
21-12-2025,197504,156288,0.22
22-12-2025,183319,167674,0.2
23-12-2025,180663,161636,0.21
24-12-2025,211970,144152,0.21
25-12-2025,226918,163272,0.23
26-12-2025,237053,163084,0.2
27-12-2025,222780,152180,0.2
28-12-2025,237597,160576,0.2
29-12-2025,172492,151740,0.19
30-12-2025,187666,150216,0.19
31-12-2025,246323,163664,0.21
01-01-2026,237770,,0.21
