Date,Brine_In,Brine_Out,Initial_Concentration_(gpl)
01-01-2024,145000,23355,0.30
02-01-2024,120000,28745,0.30
03-01-2024,120000,28037,0.32
04-01-2024,120000,23504,0.33
05-01-2024,142500,25622,0.33
06-01-2024,335000,26150,0.33
07-01-2024,600000,30750,0.33
08-01-2024,435000,29387,0.32
09-01-2024,342500,25062,0.32
10-01-2024,202500,31214,0.30
11-01-2024,360000,31920,0.32
12-01-2024,225000,30984,0.34
13-01-2024,240000,30850,0.36
14-01-2024,202500,29525,0.35
15-01-2024,122500,27115,0.30
16-01-2024,120000,31081,0.27
17-01-2024,120000,31225,0.26
18-01-2024,120000,31130,0.27
19-01-2024,120000,32120,0.29
20-01-2024,120000,31770,0.27
21-01-2024,120000,31379,0.27
22-01-2024,120000,31620,0.29
23-01-2024,120000,30768,0.30
24-01-2024,0,31510,0.30
25-01-2024,60000,31379,0.30
26-01-2024,60000,25238,0.27
27-01-2024,60000,12628,0.26
28-01-2024,60000,21117,0.25
29-01-2024,60000,14766,0.26
30-01-2024,60000,23010,0.25
31-01-2024,60000,14775,0.25
01-02-2024,60000,21556,0.24
02-02-2024,60000,22966,0.26
03-02-2024,60000,23174,0.27
04-02-2024,60000,22911,0.29
05-02-2024,60000,22488,0.29
06-02-2024,60000,15626,0.27
07-02-2024,60000,24074,0.30
08-02-2024,60000,25897,0.32
09-02-2024,117500,29663,0.32
10-02-2024,120000,28853,0.34
11-02-2024,75000,11030,0.36
12-02-2024,120000,26701,0.38
13-02-2024,120000,31085,0.40
14-02-2024,120000,31267,0.38
15-02-2024,110000,20039,0.40
16-02-2024,120000,8374,0.43
17-02-2024,120000,8097,0.44
18-02-2024,105000,6665,0.40
19-02-2024,0,2933,0.40
20-02-2024,0,6957,0.40
21-02-2024,0,7019,0.42
22-02-2024,0,8377,0.42
23-02-2024,36250,5304,0.42
24-02-2024,0,8520,0.40
25-02-2024,0,8440,0.40
26-02-2024,77500,8418,0.40
27-02-2024,120000,8373,0.38
28-02-2024,185000,5267,0.40
29-02-2024,5625,2966,0.38
01-03-2024,55000,8331,0.42
02-03-2024,132500,8381,0.40
03-03-2024,73750,8441,0.38
04-03-2024,0,8396,0.38
05-03-2024,0,8382,0.38
06-03-2024,39000,8390,0.37
07-03-2024,16000,5303,0.35
08-03-2024,0,8794,0.35
09-03-2024,0,8806,0.35
10-03-2024,0,2868,0.35
11-03-2024,0,0,0.35
12-03-2024,0,7407,0.35
13-03-2024,0,8915,0.35
14-03-2024,105000,8885,0.38
15-03-2024,120000,8871,0.34
16-03-2024,120000,8852,0.30
17-03-2024,120000,8877,0.30
18-03-2024,120000,8837,0.28
19-03-2024,115000,8843,0.27
20-03-2024,120000,8834,0.26
21-03-2024,120000,8866,0.28
22-03-2024,62500,8435,0.31
23-03-2024,38750,8855,0.28
24-03-2024,60000,12129,0.31
25-03-2024,112500,15108,0.30
26-03-2024,120000,24846,0.28
27-03-2024,42500,20254,0.28
28-03-2024,52500,28454,0.30
29-03-2024,80000,29902,0.30
30-03-2024,60000,27228,0.30
31-03-2024,60000,30514,0.30
