Date,Brine_In,Brine_Out,Initial_Concentration_(gpl)
01-07-2024,720000,30383,0.23
02-07-2024,510000,29978,0.22
03-07-2024,530000,30033,0.24
04-07-2024,540000,29144,0.24
05-07-2024,390000,29501,0.29
06-07-2024,428750,29198,0.29
07-07-2024,427500,30047,0.29
08-07-2024,338750,22888,0.30
09-07-2024,0,29890,0.30
10-07-2024,450000,29973,0.30
11-07-2024,422500,28991,0.30
12-07-2024,477500,26502,0.24
13-07-2024,487500,30593,0.25
14-07-2024,405000,30015,0.26
15-07-2024,575000,31104,0.27
16-07-2024,537500,30288,0.25
17-07-2024,487500,29266,0.27
18-07-2024,545000,30608,0.29
19-07-2024,557500,30895,0.23
20-07-2024,305000,30570,0.19
21-07-2024,605000,31435,0.18
22-07-2024,860000,30832,0.19
23-07-2024,827500,31427,0.20
24-07-2024,1132500,30915,0.16
25-07-2024,1180000,29042,0.14
26-07-2024,210000,30750,0.13
27-07-2024,845000,31019,0.16
28-07-2024,1081250,30998,0.14
29-07-2024,268750,23341,0.14
30-07-2024,105000,25281,0.18
31-07-2024,720000,29159,0.19
01-08-2024,455000,25519,0.20
02-08-2024,0,28701,0.20
03-08-2024,0,27150,0.20
04-08-2024,0,30784,0.20
05-08-2024,0,19910,0.20
06-08-2024,590000,19894,0.20
07-08-2024,895000,23211,0.23
08-08-2024,1172500,27645,0.26
09-08-2024,900000,24751,0.26
10-08-2024,1152500,29674,0.27
11-08-2024,1145000,28980,0.23
12-08-2024,1300000,28916,0.26
13-08-2024,1300000,29383,0.26
14-08-2024,1095000,27081,0.23
15-08-2024,1126250,19244,0.22
16-08-2024,1140000,19749,0.22
17-08-2024,1050000,28870,0.23
18-08-2024,1080000,26271,0.21
19-08-2024,1082500,30434,0.20
20-08-2024,1020000,27841,0.23
21-08-2024,985000,31223,0.21
22-08-2024,880000,27943,0.24
23-08-2024,907500,21780,0.24
24-08-2024,468750,27459,0.24
25-08-2024,700000,25866,0.16
26-08-2024,850000,28025,0.15
27-08-2024,0,30200,0.11
28-08-2024,0,31195,0.12
29-08-2024,0,30608,0.17
30-08-2024,0,30549,0.09
31-08-2024,0,29794,0.09
01-09-2024,50000,30080,0.16
02-09-2024,257500,26555,0.13
03-09-2024,30000,27501,0.11
04-09-2024,55000,31308,0.13
05-09-2024,0,24770,0.12
06-09-2024,0,30684,0.11
07-09-2024,0,27538,0.12
08-09-2024,0,23285,0.09
09-09-2024,0,30418,0.09
10-09-2024,0,30029,0.08
11-09-2024,0,29163,0.08
12-09-2024,0,29074,0.08
13-09-2024,0,30983,0.08
14-09-2024,0,30469,0.09
15-09-2024,0,30896,0.08
16-09-2024,0,29361,0.08
17-09-2024,0,30935,0.10
18-09-2024,0,30710,0.11
19-09-2024,0,26752,0.11
20-09-2024,0,23095,0.11
21-09-2024,0,19255,0.10
22-09-2024,0,23134,0.10
23-09-2024,0,23399,0.10
24-09-2024,0,22602,0.10
25-09-2024,0,23298,0.10
26-09-2024,100000,21575,0.11
27-09-2024,100000,21609,0.12
28-09-2024,100000,18987,0.12
29-09-2024,100000,23006,0.12
30-09-2024,100000,29286,0.11
