Date,Brine_In,Brine_Out,Initial_Concentration_(gpl)
01-10-2024,45000,22862,0.11
02-10-2024,0,27331,0.12
03-10-2024,0,32129,0.14
04-10-2024,100000,32534,0.14
05-10-2024,100000,33017,0.12
06-10-2024,100000,31588,0.13
07-10-2024,160000,32844,0.15
08-10-2024,195000,31809,0.15
09-10-2024,367500,32546,0.16
10-10-2024,962500,30862,0.16
11-10-2024,992500,31487,0.15
12-10-2024,1105000,31996,0.16
13-10-2024,1102500,32146,0.16
14-10-2024,1202500,31556,0.16
15-10-2024,1315000,31149,0.16
16-10-2024,1400000,31809,0.18
17-10-2024,1205000,21302,0.17
18-10-2024,1273750,18923,0.16
19-10-2024,1362500,21021,0.17
20-10-2024,1307500,30629,0.16
21-10-2024,1317500,27660,0.16
22-10-2024,1315000,24686,0.15
23-10-2024,1392500,29250,0.16
24-10-2024,1340000,23772,0.16
25-10-2024,840000,31464,0.16
26-10-2024,1140000,31040,0.18
27-10-2024,1380000,30904,0.18
28-10-2024,1327500,31549,0.18
29-10-2024,1320000,31532,0.18
30-10-2024,1320000,30695,0.18
31-10-2024,1362500,31536,0.18
01-11-2024,1232500,25168,0.18
02-11-2024,1276250,32780,0.19
03-11-2024,1261250,32179,0.20
04-11-2024,1220000,32346,0.20
05-11-2024,1105000,31089,0.19
06-11-2024,1177500,32453,0.20
07-11-2024,1200000,32006,0.18
08-11-2024,1155000,32964,0.18
09-11-2024,1172500,32590,0.17
10-11-2024,1140000,32641,0.17
11-11-2024,1140000,32323,0.18
12-11-2024,1140000,32585,0.19
13-11-2024,1107500,32003,0.18
14-11-2024,1030000,28712,0.19
15-11-2024,950000,31229,0.19
16-11-2024,840000,31986,0.21
17-11-2024,710000,32229,0.21
18-11-2024,0,7066,0.21
19-11-2024,405000,10024,0.21
20-11-2024,746250,29631,0.21
21-11-2024,455000,21166,0.22
22-11-2024,645000,24103,0.22
23-11-2024,572500,23861,0.22
24-11-2024,430000,24728,0.22
25-11-2024,300000,28806,0.22
26-11-2024,300000,31086,0.23
27-11-2024,267500,28783,0.23
28-11-2024,240000,24181,0.25
29-11-2024,290000,30991,0.24
30-11-2024,132500,30855,0.26
01-12-2024,120000,30130,0.26
02-12-2024,120000,24078,0.27
03-12-2024,120000,31034,0.26
04-12-2024,120000,30821,0.27
05-12-2024,120000,28916,0.26
06-12-2024,117500,20932,0.27
07-12-2024,120000,31307,0.28
08-12-2024,120000,30680,0.30
09-12-2024,120000,30926,0.32
10-12-2024,120000,22527,0.30
11-12-2024,120000,30708,0.27
12-12-2024,120000,23139,0.28
13-12-2024,120000,22420,0.26
14-12-2024,120000,30856,0.26
15-12-2024,120000,30229,0.26
16-12-2024,120000,29661,0.25
17-12-2024,120000,25658,0.23
18-12-2024,120000,20892,0.22
19-12-2024,120000,15386,0.24
20-12-2024,120000,29647,0.23
21-12-2024,120000,27963,0.23
22-12-2024,120000,27266,0.24
23-12-2024,120000,31365,0.26
24-12-2024,120000,30551,0.23
25-12-2024,120000,31162,0.24
26-12-2024,85000,25343,0.27
27-12-2024,120000,9189,0.27
28-12-2024,60000,12915,0.25
29-12-2024,67500,13409,0.25
30-12-2024,112500,13133,0.24
31-12-2024,57500,0,0.24
