Date,Initial_Concentration_(gpl),Final_Concentration_(gpl),,,,,,
01-01-2024,0.26,0.322,,,,,,
02-01-2024,0.24,0.322,,,,,,
03-01-2024,0.23,0.325,,,,,,
04-01-2024,0.26,0.321,,,,,,
05-01-2024,0.22,0.308,,,,,,
06-01-2024,0.22,0.305,,,,,,
07-01-2024,0.21,0.311,,,,,,
08-01-2024,0.2,0.305,,,,,,
09-01-2024,0.2,0.306,,,,,,
10-01-2024,0.2,0.305,,,,,,
11-01-2024,0.2,0.306,,,,,,
12-01-2024,0.24,0.318,,,,,,
13-01-2024,0.3,0.316,,,,,,
14-01-2024,0.21,0.314,,,,,,
15-01-2024,0.23,0.315,,,,,,
16-01-2024,0.24,0.319,,,,,,
17-01-2024,0.2,0.315,,,,,,
18-01-2024,0.21,0.318,,,,,,
19-01-2024,0.18,0.311,,,,,,
20-01-2024,0.18,0.305,,,,,,
21-01-2024,0.19,0.300,,,,,,
22-01-2024,0.19,0.299,,,,,,
23-01-2024,0.21,0.298,,,,,,
24-01-2024,0.21,0.298,,,,,,
25-01-2024,0.2,0.298,,,,,,
26-01-2024,0.2,0.300,,,,,,
27-01-2024,0.2,0.304,,,,,,
28-01-2024,0.18,0.305,,,,,,
29-01-2024,0.2,0.305,,,,,,
30-01-2024,0.21,0.302,,,,,,
31-01-2024,0.18,0.303,,,,,,
01-02-2024,0.18,0.160,,,,,,
02-02-2024,0.2,0.157,,,,,,
03-02-2024,0.21,0.147,,,,,,
04-02-2024,0.21,0.157,,,,,,
05-02-2024,0.19,0.167,,,,,,
06-02-2024,0.21,0.167,,,,,,
07-02-2024,0.21,0.153,,,,,,
08-02-2024,0.22,0.163,,,,,,
09-02-2024,0.2,0.170,,,,,,
10-02-2024,0.2,0.143,,,,,,
11-02-2024,0.2,0.153,,,,,,
12-02-2024,0.19,0.157,,,,,,
13-02-2024,0.19,0.153,,,,,,
14-02-2024,0.2,0.157,,,,,,
15-02-2024,0.21,0.173,,,,,,
16-02-2024,0.19,0.150,,,,,,
17-02-2024,0.22,0.180,,,,,,
18-02-2024,0.2,0.177,,,,,,
19-02-2024,0.21,0.150,,,,,,
20-02-2024,0.21,0.127,,,,,,
21-02-2024,0.21,0.163,,,,,,
22-02-2024,0.2,0.160,,,,,,
23-02-2024,0.2,0.183,,,,,,
24-02-2024,0.21,0.160,,,,,,
25-02-2024,0.19,0.153,,,,,,
26-02-2024,0.2,0.150,,,,,,
27-02-2024,0.2,0.150,,,,,,
28-02-2024,0.21,0.183,,,,,,
29-02-2024,0.21,0.170,,,,,,
01-03-2024,0.21,0.365,,,,,,
02-03-2024,0.2,0.364,,,,,,
03-03-2024,0.2,0.365,,,,,,
04-03-2024,0.2,0.363,,,,,,
05-03-2024,0.2,0.366,,,,,,
06-03-2024,0.2,0.380,,,,,,
07-03-2024,0.2,0.385,,,,,,
08-03-2024,0.2,0.388,,,,,,
09-03-2024,0.19,0.387,,,,,,
10-03-2024,0.2,0.385,,,,,,
11-03-2024,0.2,0.385,,,,,,
12-03-2024,0.2,0.383,,,,,,
13-03-2024,0.21,0.385,,,,,,
14-03-2024,0.2,0.383,,,,,,
15-03-2024,0.2,0.389,,,,,,
16-03-2024,0.2,0.384,,,,,,
17-03-2024,0.2,0.380,,,,,,
18-03-2024,0.2,0.386,,,,,,
19-03-2024,0.23,0.395,,,,,,
20-03-2024,0.23,0.388,,,,,,
21-03-2024,0.26,0.398,,,,,,
22-03-2024,0.27,0.412,,,,,,
23-03-2024,0.2,0.411,,,,,,
24-03-2024,0.2,0.406,,,,,,
25-03-2024,0.22,0.405,,,,,,
26-03-2024,0.22,0.398,,,,,,
27-03-2024,0.2,0.400,,,,,,
28-03-2024,0.2,0.403,,,,,,
29-03-2024,0.21,0.402,,,,,,
30-03-2024,0.21,0.401,,,,,,
31-03-2024,0.25,0.403,,,,,,
01-04-2024,0.25,0.401,,,,,,
02-04-2024,0.24,0.407,,,,,,
03-04-2024,0.24,0.406,,,,,,
04-04-2024,0.24,0.407,,,,,,
05-04-2024,0.23,0.402,,,,,,
06-04-2024,0.23,0.412,,,,,,
07-04-2024,0.23,0.412,,,,,,
08-04-2024,0.22,0.420,,,,,,
09-04-2024,0.22,0.417,,,,,,
10-04-2024,0.22,0.423,,,,,,
11-04-2024,0.22,0.426,,,,,,
12-04-2024,0.22,0.423,,,,,,
13-04-2024,0.22,0.425,,,,,,
14-04-2024,0.24,0.424,,,,,,
15-04-2024,0.22,0.422,,,,,,
16-04-2024,0.22,0.424,,,,,,
17-04-2024,0.23,0.419,,,,,,
18-04-2024,0.23,0.415,,,,,,
19-04-2024,0.23,0.422,,,,,,
20-04-2024,0.24,0.424,,,,,,
21-04-2024,0.24,0.421,,,,,,
22-04-2024,0.24,0.432,,,,,,
23-04-2024,0.24,0.436,,,,,,
24-04-2024,0.25,0.432,,,,,,
25-04-2024,0.24,0.438,,,,,,
26-04-2024,0.21,0.439,,,,,,
27-04-2024,0.25,0.437,,,,,,
28-04-2024,0.27,0.440,,,,,,
29-04-2024,0.28,0.434,,,,,,
30-04-2024,0.3,0.445,,,,,,
01-05-2024,0.34,0.447,,,,,,
02-05-2024,0.34,0.454,,,,,,
03-05-2024,0.3,0.467,,,,,,
04-05-2024,0.3,0.475,,,,,,
05-05-2024,0.29,0.468,,,,,,
06-05-2024,0.28,0.466,,,,,,
07-05-2024,0.3,0.459,,,,,,
08-05-2024,0.3,0.449,,,,,,
09-05-2024,0.31,0.446,,,,,,
10-05-2024,0.33,0.458,,,,,,
11-05-2024,0.33,0.455,,,,,,
12-05-2024,0.31,0.423,,,,,,
13-05-2024,0.33,0.408,,,,,,
14-05-2024,0.28,0.408,,,,,,
15-05-2024,0.28,0.405,,,,,,
16-05-2024,0.28,0.404,,,,,,
17-05-2024,0.28,0.404,,,,,,
18-05-2024,0.25,0.405,,,,,,
19-05-2024,0.3,0.406,,,,,,
20-05-2024,0.27,0.399,,,,,,
21-05-2024,0.27,0.401,,,,,,
22-05-2024,0.29,0.409,,,,,,
23-05-2024,0.3,0.406,,,,,,
24-05-2024,0.3,0.406,,,,,,
25-05-2024,0.35,0.420,,,,,,
26-05-2024,0.31,0.416,,,,,,
27-05-2024,0.29,0.411,,,,,,
28-05-2024,0.28,0.415,,,,,,
29-05-2024,0.22,0.417,,,,,,
30-05-2024,0.24,0.417,,,,,,
31-05-2024,0.22,0.444,,,,,,
01-06-2024,0.22,0.455,,,,,,
02-06-2024,0.24,0.449,,,,,,
03-06-2024,0.27,0.431,,,,,,
04-06-2024,0.23,0.431,,,,,,
05-06-2024,0.27,0.422,,,,,,
06-06-2024,0.27,0.422,,,,,,
07-06-2024,0.29,0.421,,,,,,
08-06-2024,0.29,0.435,,,,,,
09-06-2024,0.31,0.463,,,,,,
10-06-2024,0.33,0.470,,,,,,
11-06-2024,0.32,0.480,,,,,,
12-06-2024,0.31,0.499,,,,,,
13-06-2024,0.31,0.508,,,,,,
14-06-2024,0.29,0.507,,,,,,
15-06-2024,0.28,0.492,,,,,,
16-06-2024,0.27,0.482,,,,,,
17-06-2024,0.28,0.432,,,,,,
18-06-2024,0.29,0.416,,,,,,
19-06-2024,0.3,0.422,,,,,,
20-06-2024,0.31,0.455,,,,,,
21-06-2024,0.32,0.454,,,,,,
22-06-2024,0.32,0.457,,,,,,
23-06-2024,0.33,0.473,,,,,,
24-06-2024,0.33,0.478,,,,,,
25-06-2024,0.34,0.485,,,,,,
26-06-2024,0.32,0.447,,,,,,
27-06-2024,0.36,0.421,,,,,,
28-06-2024,0.26,0.388,,,,,,
29-06-2024,0.25,0.388,,,,,,
30-06-2024,0.32,0.375,,,,,,
01-07-2024,0.33,0.372,,,,,,
02-07-2024,0.27,0.388,,,,,,
03-07-2024,0.29,0.395,,,,,,
04-07-2024,0.29,0.381,,,,,,
05-07-2024,0.29,0.378,,,,,,
06-07-2024,0.29,0.378,,,,,,
07-07-2024,0.32,0.379,,,,,,
08-07-2024,0.32,0.371,,,,,,
09-07-2024,0.27,0.369,,,,,,
10-07-2024,0.27,0.375,,,,,,
11-07-2024,0.22,0.378,,,,,,
12-07-2024,0.26,0.378,,,,,,
13-07-2024,0.26,0.382,,,,,,
14-07-2024,0.26,0.376,,,,,,
15-07-2024,0.27,0.374,,,,,,
16-07-2024,0.26,0.367,,,,,,
17-07-2024,0.26,0.367,,,,,,
18-07-2024,0.24,0.351,,,,,,
19-07-2024,0.17,0.318,,,,,,
