Date,Saturation_vapour,Actual_vapour,Solar-Irradiance,Slope,Psychrometric constant,Radiation-Based_evaporation,Aerodynamics_evaporation,Evaporation,wind_speed,Day,Month,Year,Month_sin,Month_cos,dayofyear,trend,dayofyear_sin,dayofyear_cos,month_sin,month_cos,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_mean_60,rolling_std_60,cumulative_mean,cumulative_std,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52,lag_53,lag_54,lag_55,lag_56,lag_57,lag_58,lag_59,lag_60
2018-11-01,3.784962006,1.441807056,185.2657237,220.3430298,66.97506233,6.578550993,3.581791916,5.879993779,1.453418118,1,11,2018,-0.5000000000000004,0.8660254037844384,305,60,-0.858763958275803,0.5123714121284235,-0.5000000000000004,0.8660254037844384,7.194639887285715,0.4676203666348654,7.6125552436333335,0.5384607315377155,8.375572537933333,0.8778505106618408,8.39068311304918,0.8784679421498534,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497,8.974091852,8.777405725,9.614920703,9.365685012,9.108233121,9.093032229,9.177268859,9.578149933,9.446817904,9.462261401,9.504556864,9.45996621,9.219602553,9.29731762
2018-11-02,3.78908204,1.395281289,184.2092919,220.5512867,66.97626865,6.541156249,5.354569335,6.264754344,2.126805499,2,11,2018,-0.5000000000000004,0.8660254037844384,306,61,-0.8498170915275277,0.5270777086423724,-0.5000000000000004,0.8660254037844384,7.072811983785714,0.4721370950163409,7.550310097333334,0.5824637479451177,8.326325067783333,0.9119202835330608,8.35639393935484,0.912113671314674,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497,8.974091852,8.777405725,9.614920703,9.365685012,9.108233121,9.093032229,9.177268859,9.578149933,9.446817904,9.462261401,9.504556864,9.45996621,9.219602553
2018-11-03,3.71750083,1.422215635,183.2162004,216.9283673,66.9551514,6.503840945,6.537971013,6.511890668,2.708304943,3,11,2018,-0.5000000000000004,0.8660254037844384,307,62,-0.8406184056344783,0.5416278206559811,-0.5000000000000004,0.8660254037844384,7.0204710305,0.49182706631795936,7.514246480933333,0.6124023523076935,8.277190475416667,0.9290645474774617,8.327116109650794,0.9340962648008047,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497,8.974091852,8.777405725,9.614920703,9.365685012,9.108233121,9.093032229,9.177268859,9.578149933,9.446817904,9.462261401,9.504556864,9.45996621
2018-11-04,3.627438636,1.207688577,182.0595433,212.3557598,66.92809079,6.460169758,9.073021282,7.086318258,3.565107644,4,11,2018,-0.5000000000000004,0.8660254037844384,308,63,-0.8311706263658079,0.5560174366570446,-0.5000000000000004,0.8660254037844384,6.996900527714286,0.47914132743497395,7.484654584366666,0.6108635023462902,8.23688649865,0.9273689666971994,8.30772864321875,0.9395434973980117,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497,8.974091852,8.777405725,9.614920703,9.365685012,9.108233121,9.093032229,9.177268859,9.578149933,9.446817904,9.462261401,9.504556864
2018-11-05,3.487605755,1.01458804,180.9188447,205.223665,66.88493396,6.415553883,8.832806594,7.009720288,3.395961209,5,11,2018,-0.5000000000000004,0.8660254037844384,309,64,-0.8214765533024145,0.5702422926917867,-0.5000000000000004,0.8660254037844384,6.971839159142858,0.46769502966044596,7.444941726366666,0.6013323975665147,8.196010813433334,0.9264925912966264,8.287759283907691,0.9459754411425136,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497,8.974091852,8.777405725,9.614920703,9.365685012,9.108233121,9.093032229,9.177268859,9.578149933,9.446817904,9.462261401
2018-11-06,3.395565937,0.954066237,179.8938221,200.5069189,66.85572586,6.376419894,9.248805337,7.094678101,3.601804949,6,11,2018,-0.5000000000000004,0.8660254037844384,310,65,-0.8115390590073611,0.5842981736283683,-0.5000000000000004,0.8660254037844384,6.975980788500001,0.4685694492989919,7.406176722233334,0.5843818547998503,8.156808483383333,0.9224243002031196,8.269682296287877,0.9500892723310149,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497,8.974091852,8.777405725,9.614920703,9.365685012,9.108233121,9.093032229,9.177268859,9.578149933,9.446817904
2018-11-07,3.366380974,0.963301204,178.9415392,199.0074854,66.84632504,6.341773933,4.550348464,5.891337623,1.800394574,7,11,2018,-0.5000000000000004,0.8660254037844384,311,66,-0.801361088174677,0.5981809144059158,-0.5000000000000004,0.8660254037844384,6.902941768571429,0.5513727114223315,7.3419617660666665,0.6407207859786145,8.095361611549999,0.9485647713923363,8.234184614597014,0.9866197520098483,7.094678101,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497,8.974091852,8.777405725,9.614920703,9.365685012,9.108233121,9.093032229,9.177268859,9.578149933
2018-11-08,3.379391741,1.577870249,178.4555082,199.6761669,66.85052441,6.32494607,3.603237332,5.642284024,1.901711566,8,11,2018,-0.5000000000000004,0.8660254037844384,312,67,-0.7909456567567774,0.6118864012687242,-0.5000000000000004,0.8660254037844384,6.804093889571428,0.6438727919521128,7.2680330447,0.7037240064518429,8.036445197633334,0.9891404429321484,8.196068429441176,1.0284372917300868,5.891337623,7.094678101,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497,8.974091852,8.777405725,9.614920703,9.365685012,9.108233121,9.093032229,9.177268859
2018-11-09,3.455670425,1.870707632,177.7112744,203.589123,66.87487386,6.300862559,2.797362547,5.434587845,1.678111877,9,11,2018,-0.5000000000000004,0.8660254037844384,313,68,-0.780295851070776,0.6254105729852457,-0.5000000000000004,0.8660254037844384,6.668991125071429,0.7198842186467566,7.183057527633334,0.7655084915004983,7.975471124566666,1.034618945724037,8.156046971695652,1.0736142584344484,5.642284024,5.891337623,7.094678101,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497,8.974091852,8.777405725,9.614920703,9.365685012,9.108233121,9.093032229
2018-11-10,3.527189661,1.977491919,176.8599276,207.2467125,66.89729642,6.272780012,3.467180399,5.588150683,2.127260448,10,11,2018,-0.5000000000000004,0.8660254037844384,314,69,-0.7694148268839381,0.6387494220515268,-0.5000000000000004,0.8660254037844384,6.520575429357143,0.7126818270434834,7.093585929466667,0.7902688527286156,7.916803083933333,1.0685439024702055,8.119362739,1.1091184984367,5.434587845,5.642284024,5.891337623,7.094678101,7.009720288,7.086318258,6.511890668,6.264754344,5.879993779,7.110820088,7.08886427,7.349301152,7.335354888,7.665970423,7.326026548,7.02615433,6.913883902,7.03669529,7.360579448,7.416305297,7.244664014,7.970344993,7.881645321,7.749922934,7.612301022,7.67486955,7.97264251,8.246332618,8.421183673,8.272298628,7.983853357,7.860145665,7.817786308,8.257628225,8.201106028,7.974075155,7.59379916,8.132108733,8.500966926,8.83051389,8.875067231,8.817172663,8.845652485,8.835893521,8.887494321,9.120153481,9.064549738,9.083251986,9.046048233,9.192020383,9.198312773,9.173773197,9.160624154,9.365216122,9.378991497,8.974091852,8.777405725,9.614920703,9.365685012,9.108233121
