Date,Brine_In,Brine_Out,Initial_Concentration_(gpl)
01-01-2024,145000,23355,0.3
02-01-2024,120000,28745,0.3
03-01-2024,120000,28037,0.32
04-01-2024,120000,23504,0.33
05-01-2024,142500,25622,0.33
06-01-2024,335000,26150,0.33
07-01-2024,600000,30750,0.33
08-01-2024,435000,29387,0.32
09-01-2024,342500,25062,0.32
10-01-2024,202500,31214,0.3
11-01-2024,360000,31920,0.32
12-01-2024,225000,30984,0.34
13-01-2024,240000,30850,0.36
14-01-2024,202500,29525,0.35
15-01-2024,122500,27115,0.3
16-01-2024,120000,31081,0.27
17-01-2024,120000,31225,0.26
18-01-2024,120000,31130,0.27
19-01-2024,120000,32120,0.29
20-01-2024,120000,31770,0.27
21-01-2024,120000,31379,0.27
22-01-2024,120000,31620,0.29
23-01-2024,120000,30768,0.3
24-01-2024,0,31510,0.3
25-01-2024,60000,31379,0.3
26-01-2024,60000,25238,0.27
27-01-2024,60000,12628,0.26
28-01-2024,60000,21117,0.25
29-01-2024,60000,14766,0.26
30-01-2024,60000,23010,0.25
31-01-2024,60000,14775,0.25
01-02-2024,60000,21556,0.24
02-02-2024,60000,22966,0.26
03-02-2024,60000,23174,0.27
04-02-2024,60000,22911,0.29
05-02-2024,60000,22488,0.29
06-02-2024,60000,15626,0.27
07-02-2024,60000,24074,0.3
08-02-2024,60000,25897,0.32
09-02-2024,117500,29663,0.32
10-02-2024,120000,28853,0.34
11-02-2024,75000,11030,0.36
12-02-2024,120000,26701,0.38
13-02-2024,120000,31085,0.4
14-02-2024,120000,31267,0.38
15-02-2024,110000,20039,0.4
16-02-2024,120000,8374,0.43
17-02-2024,120000,8097,0.44
18-02-2024,105000,6665,0.4
19-02-2024,0,2933,0.4
20-02-2024,0,6957,0.4
21-02-2024,0,7019,0.42
22-02-2024,0,8377,0.42
23-02-2024,36250,5304,0.42
24-02-2024,0,8520,0.4
25-02-2024,0,8440,0.4
26-02-2024,77500,8418,0.4
27-02-2024,120000,8373,0.38
28-02-2024,185000,5267,0.4
29-02-2024,5625,2966,0.38
01-03-2024,55000,8331,0.42
02-03-2024,132500,8381,0.4
03-03-2024,73750,8441,0.38
04-03-2024,0,8396,0.38
05-03-2024,0,8382,0.38
06-03-2024,39000,8390,0.37
07-03-2024,16000,5303,0.35
08-03-2024,0,8794,0.35
09-03-2024,0,8806,0.35
10-03-2024,0,2868,0.35
11-03-2024,0,0,0.35
12-03-2024,0,7407,0.35
13-03-2024,0,8915,0.35
14-03-2024,105000,8885,0.38
15-03-2024,120000,8871,0.34
16-03-2024,120000,8852,0.3
17-03-2024,120000,8877,0.3
18-03-2024,120000,8837,0.28
19-03-2024,115000,8843,0.27
20-03-2024,120000,8834,0.26
21-03-2024,120000,8866,0.28
22-03-2024,62500,8435,0.31
23-03-2024,38750,8855,0.28
24-03-2024,60000,12129,0.31
25-03-2024,112500,15108,0.3
26-03-2024,120000,24846,0.28
27-03-2024,42500,20254,0.28
28-03-2024,52500,28454,0.3
29-03-2024,80000,29902,0.3
30-03-2024,60000,27228,0.3
31-03-2024,60000,30514,0.3
01-04-2024,70000,30645,0.31
02-04-2024,75000,30337,0.28
03-04-2024,155000,30685,0.31
04-04-2024,60000,25341,0.28
05-04-2024,60000,24988,0.32
06-04-2024,60000,32137,0.26
07-04-2024,60000,32332,0.25
08-04-2024,60000,32684,0.24
09-04-2024,60000,32137,0.24
10-04-2024,56250,32009,0.26
11-04-2024,60000,32067,0.26
12-04-2024,60000,31324,0.26
13-04-2024,60000,31234,0.25
14-04-2024,60000,31629,0.28
15-04-2024,60000,31287,0.29
16-04-2024,60000,31137,0.28
17-04-2024,60000,21118,0.27
18-04-2024,60000,30315,0.3
19-04-2024,60000,31180,0.29
20-04-2024,60000,28031,0.28
21-04-2024,60000,30919,0.31
22-04-2024,60000,30822,0.3
23-04-2024,60000,28610,0.31
24-04-2024,60000,31221,0.29
25-04-2024,60000,29352,0.29
26-04-2024,60000,30000,0.33
27-04-2024,60000,29447,0.34
28-04-2024,60000,24743,0.32
29-04-2024,60000,22736,0.34
30-04-2024,90000,22992,0.35
01-05-2024,90000,23950,0.34
02-05-2024,90000,28930,0.31
03-05-2024,90000,20140,0.32
04-05-2024,90000,19358,0.31
05-05-2024,90000,27578,0.31
06-05-2024,60000,25509,0.28
07-05-2024,95000,27892,0.27
08-05-2024,120000,23085,0.28
09-05-2024,120000,24158,0.27
10-05-2024,262500,27105,0.26
11-05-2024,190000,20836,0.25
12-05-2024,240000,26596,0.24
13-05-2024,340000,29909,0.24
14-05-2024,190000,23364,0.26
15-05-2024,110000,22246,0.27
16-05-2024,30000,26521,0.3
17-05-2024,220000,31731,0.3
18-05-2024,240000,32023,0.3
19-05-2024,157500,31314,0.28
20-05-2024,200000,31618,0.29
21-05-2024,120000,31227,0.27
22-05-2024,235000,31465,0.27
23-05-2024,180000,31070,0.29
24-05-2024,138750,26376,0.29
25-05-2024,157500,7921,0.3
26-05-2024,193750,21721,0.29
27-05-2024,390000,18989,0.24
28-05-2024,402500,29998,0.18
29-05-2024,466250,29235,0.18
30-05-2024,360000,30581,0.2
31-05-2024,465000,30790,0.2
01-06-2024,793750,30508,0.2
02-06-2024,982500,30387,0.24
03-06-2024,1005000,20581,0.27
04-06-2024,1080000,20314,0.27
05-06-2024,1010000,20355,0.29
06-06-2024,910000,21666,0.3
07-06-2024,927500,30196,0.29
08-06-2024,890000,30717,0.31
09-06-2024,840000,28047,0.3
10-06-2024,785000,21577,0.31
11-06-2024,745000,28558,0.29
12-06-2024,657500,29514,0.3
13-06-2024,702500,21279,0.33
14-06-2024,670000,30125,0.34
15-06-2024,530000,27910,0.33
16-06-2024,0,21743,0.33
17-06-2024,750000,30578,0.32
18-06-2024,1110000,27420,0.29
19-06-2024,420000,20467,0.3
20-06-2024,825000,19592,0.29
21-06-2024,660000,20224,0.3
22-06-2024,607500,17195,0.33
23-06-2024,190000,24971,0.35
24-06-2024,192500,28806,0.37
25-06-2024,266875,25328,0.37
26-06-2024,770000,30567,0.34
27-06-2024,800000,28902,0.33
28-06-2024,696250,23785,0.19
29-06-2024,270000,27439,0.19
30-06-2024,380000,30372,0.2
01-07-2024,720000,30383,0.23
02-07-2024,510000,29978,0.22
03-07-2024,530000,30033,0.24
04-07-2024,540000,29144,0.24
05-07-2024,390000,29501,0.29
06-07-2024,428750,29198,0.29
07-07-2024,427500,30047,0.29
08-07-2024,338750,22888,0.3
