Date,Water Level (m),Volume V1 (m3),Evaporation (mm/day),Evaporation Volume (mm3),SurfaceArea (m2),Volume V2 (m3),Initial Concentration (gpl),Final Concentration C2 (gpl),Quantity (tonnes)
2024-10-01,0.804027,67763328.83,7.005087613,590388.14,84279908.54,67172940.69,0.3,0.303,20152
2024-10-02,0.807989,68097215.83,7.063933859,595347.7,84279908.54,67501868.13,0.303,0.305,20251
2024-10-03,0.812304,68460898.83,7.11964324,600042.88,84279908.54,67860855.95,0.305,0.308,20358
2024-10-04,0.81671,68832258.83,7.199200877,606747.99,84279908.54,68225510.84,0.308,0.311,20468
2024-10-05,0.819713,69085373.83,6.966809655,587162.08,84279908.54,68498211.75,0.311,0.313,20549
2024-10-06,0.822367,69308991.83,6.418709739,540968.27,84279908.54,68768023.56,0.313,0.316,20630
2024-10-07,0.82477,69511571.83,6.610963187,557171.37,84279908.54,68954400.46,0.316,0.318,20686
2024-10-08,0.827188,69715306.83,6.646152319,560137.11,84279908.54,69155169.72,0.318,0.321,20747
2024-10-09,0.830453,69990543.83,6.716929363,566102.19,84279908.54,69424441.64,0.321,0.324,20827
2024-10-10,0.835272,70396687.83,6.866060976,578670.99,84279908.54,69818016.84,0.324,0.326,20945
2024-10-11,0.840738,70857282.83,6.56768467,553523.86,84279908.54,70303758.97,0.326,0.329,21091
2024-10-12,0.847672,71441700.83,6.760511367,569775.28,84279908.54,70871925.55,0.329,0.332,21262
2024-10-13,0.853812,71959157.83,6.401270413,539498.48,84279908.54,71419659.35,0.332,0.334,21426
2024-10-14,0.860445,72518213.83,6.15591256,518819.75,84279908.54,71999394.08,0.334,0.336,21600
2024-10-15,0.866319,73013327.83,6.398619714,539275.08,84279908.54,72474052.75,0.336,0.339,21742
2024-10-16,0.87368,73633685.83,6.564823331,553282.71,84279908.54,73080403.12,0.339,0.341,21924
2024-10-17,0.88202,74336547.83,6.357227968,535786.59,84279908.54,73800761.24,0.341,0.344,22140
2024-10-18,0.890696,75067756.83,6.123877079,516119.8,84279908.54,74551637.03,0.344,0.346,22365
2024-10-19,0.899326,75795088.83,6.452443592,543811.36,84279908.54,75251277.48,0.346,0.349,22575
2024-10-20,0.905026,76275506.83,6.368166141,536708.46,84279908.54,75738798.37,0.349,0.351,22722
2024-10-21,0.907442,76479139.83,6.11311668,515212.91,84279908.54,75963926.92,0.351,0.354,22789
2024-10-22,0.911654,76834134.83,6.074774279,511981.42,84279908.54,76322153.41,0.354,0.356,22897
2024-10-23,0.918133,77380167.83,6.067975784,511408.44,84279908.54,76868759.39,0.356,0.358,23061
2024-10-24,0.925492,78000414.83,6.444170289,543114.08,84279908.54,77457300.75,0.358,0.361,23237
2024-10-25,0.935186,78817358.83,6.834969552,576050.61,84279908.54,78241308.22,0.361,0.364,23472
2024-10-26,0.944509,79603110.83,6.686223718,563514.32,84279908.54,79039596.51,0.364,0.366,23712
2024-10-27,0.95308,80325513.83,6.615332647,557539.63,84279908.54,79767974.2,0.366,0.369,23930
2024-10-28,0.962127,81087993.83,6.739919947,568039.84,84279908.54,80519954.0,0.369,0.371,24156
2024-10-29,0.972005,81920508.83,6.721754017,566508.81,84279908.54,81354000.02,0.371,0.374,24406
2024-10-30,0.984087,82938778.83,6.580628934,554614.8,84279908.54,82384164.03,0.374,0.376,24715
2024-11-01,0.996268,83965396.83,6.443450489,543053.42,84279908.54,83422343.41,0.376,0.379,25027
2024-11-02,1.008631,85007328.83,6.354177177,535529.47,84279908.54,84471799.36,0.379,0.381,25342
2024-11-03,1.020851,86037192.83,5.777939271,486964.19,84279908.54,85550228.64,0.381,0.384,25665
2024-11-04,1.031752,86955998.83,5.938480038,500494.55,84279908.54,86455504.28,0.384,0.386,25937
2024-11-05,1.043018,87905470.83,5.881302086,495675.6,84279908.54,87409795.23,0.386,0.388,26223
2024-11-06,1.053653,88801780.83,6.218127432,524063.21,84279908.54,88277717.62,0.388,0.39,26483
2024-11-07,1.064367,89704766.83,6.335078715,533919.85,84279908.54,89170846.98,0.39,0.393,26751
2024-11-08,1.074957,90597300.83,6.023226755,507637.0,84279908.54,90089663.83,0.393,0.395,27027
2024-11-09,1.085561,91490941.83,6.074952619,511996.45,84279908.54,90978945.38,0.395,0.397,27294
2024-11-10,1.094971,92284032.83,6.199247605,522472.02,84279908.54,91761560.81,0.397,0.399,27528
2024-11-11,1.105297,93154299.83,6.053732912,510208.06,84279908.54,92644091.78,0.399,0.401,27793
2024-11-12,1.114883,93962197.83,5.637268958,475108.51,84279908.54,93487089.32,0.401,0.403,28046
2024-11-13,1.123799,94713661.83,5.637860327,475158.35,84279908.54,94238503.48,0.403,0.406,28272
2024-11-14,1.132249,95425842.83,5.358544545,451617.64,84279908.54,94974225.19,0.406,0.407,28492
2024-11-15,1.139041,95998306.83,5.219262646,439878.98,84279908.54,95558427.85,0.407,0.409,28668
2024-11-16,1.14653,96629467.83,5.36807106,452420.54,84279908.54,96177047.29,0.409,0.411,28853
2024-11-17,1.153655,97229968.83,5.500615297,463591.35,84279908.54,96766377.48,0.411,0.413,29030
2024-11-18,1.160668,97820974.83,5.539608254,466877.68,84279908.54,97354097.16,0.413,0.415,29206
2024-11-19,1.167864,98427449.83,5.172625807,435948.43,84279908.54,97991501.4,0.415,0.417,29397
2024-11-20,1.174559,98991700.83,5.159347132,434829.3,84279908.54,98556871.53,0.417,0.419,29567
2024-11-21,1.180031,99452870.83,5.043195004,425040.01,84279908.54,99027830.82,0.419,0.421,29708
2024-11-22,1.185246,99892394.83,5.065434414,426914.35,84279908.54,99465480.48,0.421,0.422,29840
2024-11-23,1.188311,100150702.83,4.93236991,415699.68,84279908.54,99735003.15,0.422,0.424,29921
2024-11-24,1.189978,100291259.83,5.062504706,426667.43,84279908.54,99864592.4,0.424,0.426,29959
2024-11-25,1.191255,100398869.83,5.388033121,454102.94,84279908.54,99944766.89,0.426,0.428,29983
2024-11-26,1.191991,100460862.83,4.974412485,419243.03,84279908.54,100041619.8,0.428,0.43,30012
2024-11-27,1.192674,100518450.83,5.099133621,429754.52,84279908.54,100088696.32,0.43,0.432,30027
2024-11-28,1.193231,100565371.83,4.791277719,403808.45,84279908.54,100161563.38,0.432,0.433,30048
2024-11-29,1.193545,100591839.83,5.075430899,427756.85,84279908.54,100164082.98,0.433,0.435,30049
2024-11-30,1.194039,100633483.83,5.714548588,481621.63,84279908.54,100151862.2,0.435,0.437,30046
2024-12-01,1.195445,100751980.83,5.522148509,465406.17,84279908.54,100286574.66,0.437,0.439,30086
2024-12-02,1.197398,100916561.83,5.45454159,459708.27,84279908.54,100456853.57,0.439,0.441,30137
2024-12-03,1.199791,101118284.83,6.024160069,507715.66,84279908.54,100610569.17,0.441,0.444,30183
2024-12-04,1.201157,101233422.83,6.233435865,525353.4,84279908.54,100708069.43,0.444,0.446,30212
2024-12-05,1.202029,101306882.83,5.265113821,443743.31,84279908.54,100863139.52,0.446,0.448,30259
2024-12-06,1.20188,101294322.83,4.837825537,407731.49,84279908.54,100886591.34,0.448,0.45,30266
2024-12-07,1.201815,101288857.83,4.952491307,417395.51,84279908.54,100871462.32,0.45,0.452,30261
2024-12-08,1.201098,101228395.83,5.825384555,490962.88,84279908.54,100737432.95,0.452,0.454,30221
2024-12-09,1.199544,101097439.83,6.39920517,539324.43,84279908.54,100558115.41,0.454,0.456,30167
2024-12-10,1.198255,100988827.83,6.008519588,506397.48,84279908.54,100482430.35,0.456,0.458,30145
2024-12-11,1.198702,101026457.83,5.914801007,498498.89,84279908.54,100527958.94,0.458,0.461,30158
2024-12-12,1.199526,101095946.83,6.699896259,564666.64,84279908.54,100531280.19,0.461,0.463,30159
2024-12-13,1.200372,101167212.83,6.41743935,540861.2,84279908.54,100626351.63,0.463,0.466,30188
2024-12-14,1.200532,101180723.83,5.767840971,486113.11,84279908.54,100694610.72,0.466,0.468,30208
2024-12-15,1.200676,101192891.83,5.367674963,452387.15,84279908.54,100740504.68,0.468,0.47,30222
2024-12-16,1.2005,101177995.83,5.669673707,477839.58,84279908.54,100700156.25,0.47,0.472,30210
2024-12-17,1.200705,101195323.83,5.90940024,498043.71,84279908.54,100697280.12,0.472,0.475,30209
2024-12-18,1.201013,101221225.83,5.725888636,482577.37,84279908.54,100738648.46,0.475,0.477,30222
2024-12-19,1.201278,101243590.83,5.709718405,481214.54,84279908.54,100762376.29,0.477,0.479,30229
2024-12-20,1.201628,101273114.83,6.318985072,532563.48,84279908.54,100740551.35,0.479,0.482,30222
2024-12-21,1.201949,101300145.83,5.186396778,437109.05,84279908.54,100863036.79,0.482,0.484,30259
2024-12-22,1.202103,101313134.83,4.755488353,400792.12,84279908.54,100912342.71,0.484,0.486,30274
2024-12-23,1.2027,101363468.83,4.863193069,409869.47,84279908.54,100953599.36,0.486,0.488,30286
2024-12-24,1.203682,101446234.83,5.337732313,449863.59,84279908.54,100996371.24,0.488,0.49,30299
2024-12-25,1.204558,101520015.83,5.457757636,459979.31,84279908.54,101060036.52,0.49,0.492,30318
2024-12-26,1.205266,101579711.83,5.25372164,442783.18,84279908.54,101136928.65,0.492,0.494,30341
2024-12-27,1.20628,101665128.83,5.376971427,453170.66,84279908.54,101211958.17,0.494,0.497,30364
2024-12-28,1.206421,101677044.83,5.002852997,421639.99,84279908.54,101255404.84,0.497,0.499,30377
2024-12-29,1.206847,101712970.83,5.576010341,469945.64,84279908.54,101243025.19,0.499,0.501,30373
2024-12-30,1.207988,101809077.83,5.038726336,424663.39,84279908.54,101384414.44,0.501,0.503,30415
2024-12-31,1.208867,101883183.83,5.046989781,425359.84,84279908.54,101457823.99,0.503,0.505,30437
