Date,Brine_Differenced,SurfaceArea,Waterlevel,Added_const_wl,Volume_V1,Evaporation,Evaporation_Loss,e_(m3),Volume_V2,Initial_Conc_(gpl),C2 (mg/l),Quantity_in_tonnes
2024-03-01,63822,77363631.45,0.0008249612744878459,0.8008249612744879,61954727.160000004,6.403629119,0.7944213321554878,61459319.1568952,495408.00310480595,0.35,43.77029513068366,173392.80108668207
2024-03-02,84609,77363631.45,0.0010936534184629461,0.801093653418463,61975514.160000004,14.538564489999999,0.7865550889284629,60850758.01498359,1124756.145016417,43.77029513068366,2411.7997111449167,393664.6507557459
2024-03-03,133807,77363631.45,0.0017295853037415812,0.8017295853037416,62024712.160000004,21.464539066999997,0.7802650462367416,60364137.47037649,1660574.6896235123,2411.7997111449167,90083.98345831114,581201.1413682293
2024-03-04,196075,77363631.45,0.002534459620431895,0.8025344596204319,62086980.160000004,28.455588057999996,0.7740788715624319,59885552.532787874,2201427.6272121295,90083.98345831114,2540643.3645937825,770499.6695242453
2024-03-05,233098,77363631.45,0.003013017817689322,0.8030130178176894,62124003.16000001,36.269844013,0.7667431738046894,59318036.315029286,2805966.8449707255,2540643.3645937825,56249751.02373452,982088.3957397538
2024-03-06,287486,77363631.45,0.003716035488662418,0.8037160354886624,62178391.160000004,43.276418359,0.7604396171296625,58830370.27959832,3348020.880401686,56249751.02373452,1044652690.8717347,1171807.3081405899
2024-03-07,305375,77363631.45,0.003947268170798877,0.8039472681707989,62196280.160000004,49.878835597,0.7540684325737989,58337472.30571855,3858807.8542814553,1044652690.8717347,16837716176.841085,1350582.7489985093
2024-03-08,372993,77363631.45,0.0048212964284266415,0.8048212964284267,62263898.160000004,57.240891136,0.7475804052924266,57835534.95428493,4428363.205715075,16837716176.841085,236742515593.30472,1549927.122000276
2024-03-09,437088,77363631.45,0.005649786492797838,0.8056497864927978,62327993.160000004,64.82891798200001,0.7408208685107979,57312592.64193828,5015400.518061727,236742515593.30472,2942075281812.834,1755390.1813216044
2024-03-10,506116,77363631.45,0.006542040368504444,0.8065420403685045,62397021.16000001,71.784544421,0.7347574959475045,56843508.12160761,5553513.038392402,2942075281812.834,33055965178165.695,1943729.5634373405
2024-03-11,545075,77363631.45,0.0070456232442020405,0.807045623244202,62435980.160000004,78.723346559,0.728322276685202,56345656.1902989,6090323.969701104,33055965178165.695,338878784823476.94,2131613.389395386
2024-03-12,599429,77363631.45,0.007748201432186001,0.8077482014321861,62490334.160000004,85.70888591100001,0.722039315521186,55859583.49839131,6630750.661608696,338878784823476.94,3193703033649604.0,2320762.7315630433
2024-03-13,642137,77363631.45,0.008300243770420887,0.808300243770421,62533042.16000001,92.997915899,0.715302327871421,55338385.66877168,7194656.491228335,3193703033649604.0,2.775837410628538e+16,2518129.771929917
2024-03-14,696480,77363631.45,0.009002679772731894,0.809002679772732,62587385.16000001,100.30502368200001,0.708697656090732,54827424.27528224,7759960.88471777,2.775837410628538e+16,2.2388309392472416e+17,2715986.3096512193
2024-03-15,726637,77363631.45,0.009392488258124547,0.8093924882581246,62617542.160000004,108.41927898800002,0.7009732092701246,54229833.01829765,8387709.141702354,2.2388309392472416e+17,1.6713752033964047e+18,2935698.199595824
2024-03-16,747033,77363631.45,0.009656126347724593,0.8096561263477247,62637938.160000004,116.27863705900002,0.6933774892887247,53642200.53705922,8995737.622940786,1.6713752033964047e+18,1.1637900194589807e+19,3148508.1680292753
2024-03-17,759239,77363631.45,0.00981390074082413,0.8098139007408242,62650144.160000004,123.96022993700002,0.6858536708038241,53060130.61669667,9590013.543303333,1.1637900194589807e+19,7.602868563411803e+19,3356504.7401561667
2024-03-18,771158,77363631.45,0.009967965380456556,0.8099679653804566,62662063.160000004,131.29324545500003,0.6786747199254566,52504740.906744994,10157322.25325501,7.602868563411803e+19,4.690325050630528e+20,3555062.7886392535
