Date,C2 (mg/l)
2026-01-01,2374.01
2026-01-02,2368.8054
2026-01-03,2367.2375
2026-01-04,2363.8289
2026-01-05,2363.1394
2026-01-06,2360.4973
2026-01-07,2360.625
2026-01-08,2359.72
2026-01-09,2359.5535
2026-01-10,2359.322
2026-01-11,2359.0703
2026-01-12,2358.995
2026-01-13,2359.036
2026-01-14,2359.1262
2026-01-15,2359.0732
2026-01-16,2359.1182
2026-01-17,2359.2117
2026-01-18,2359.2378
2026-01-19,2359.4014
2026-01-20,2359.3896
2026-01-21,2359.2168
2026-01-22,2359.2834
2026-01-23,2358.8025
2026-01-24,2358.746
2026-01-25,2358.8228
2026-01-26,2358.6423
2026-01-27,2358.6248
2026-01-28,2358.5916
2026-01-29,2358.8267
2026-01-30,2358.899
2026-01-31,2358.9995
2026-02-01,2358.7446
2026-02-02,2358.7036
2026-02-03,2358.728
2026-02-04,2357.5002
2026-02-05,2357.4873
2026-02-06,2357.5144
2026-02-07,2357.2969
2026-02-08,2357.2607
2026-02-09,2356.9902
2026-02-10,2356.8508
2026-02-11,2356.8362
2026-02-12,2357.3164
2026-02-13,2355.9316
2026-02-14,2356.51
2026-02-15,2356.4504
2026-02-16,2356.1304
2026-02-17,2355.801
2026-02-18,2356.242
2026-02-19,2353.9956
2026-02-20,2354.6963
2026-02-21,2354.5571
2026-02-22,2347.2158
2026-02-23,2311.7046
2026-02-24,2289.396
2026-02-25,2259.6545
2026-02-26,2227.9639
2026-02-27,2184.6475
2026-02-28,2087.124
2026-03-01,1892.2963
2026-03-02,1676.2631
2026-03-03,1436.0483
2026-03-04,1249.9034
2026-03-05,1079.4305
2026-03-06,951.83624
2026-03-07,797.60016
2026-03-08,665.4375
2026-03-09,551.29205
2026-03-10,551.29205
2026-03-11,551.29205
2026-03-12,550.4926
2026-03-13,550.4942
2026-03-14,550.5455
2026-03-15,550.6053
2026-03-16,550.16125
2026-03-17,550.1524
2026-03-18,550.1527
2026-03-19,550.2742
2026-03-20,549.0121
2026-03-21,549.0896
2026-03-22,547.54584
2026-03-23,547.5888
2026-03-24,547.63605
2026-03-25,548.57764
2026-03-26,548.544
2026-03-27,548.57764
2026-03-28,548.5507
2026-03-29,547.5645
2026-03-30,547.6353
2026-03-31,547.6705
2026-04-01,547.4836
2026-04-02,547.4579
2026-04-03,547.4727
2026-04-04,547.49274
2026-04-05,546.73175
2026-04-06,546.7443
2026-04-07,546.75507
2026-04-08,546.8319
2026-04-09,546.6807
2026-04-10,546.54663
2026-04-11,546.7517
2026-04-12,546.73206
2026-04-13,546.8319
2026-04-14,546.56165
2026-04-15,546.7333
2026-04-16,546.73206
2026-04-17,546.7425
2026-04-18,546.75507
2026-04-19,546.73236
2026-04-20,546.8319
2026-04-21,546.7425
2026-04-22,546.76056
2026-04-23,546.7764
2026-04-24,546.88
2026-04-25,546.75507
2026-04-26,546.7425
2026-04-27,546.7425
2026-04-28,546.73236
2026-04-29,546.7534
2026-04-30,546.8289
