Date,C2 (kg)
2024-01-01,28.183695
2024-01-02,42.815506
2024-01-03,48.299572
2024-01-04,57.079285
2024-01-05,68.823715
2024-01-06,77.62217
2024-01-07,89.321335
2024-01-08,100.10884
2024-01-09,110.08742
2024-01-10,123.462715
2024-01-11,136.40703
2024-01-12,151.98312
2024-01-13,168.35779
2024-01-14,188.59798
2024-01-15,201.50754
2024-01-16,215.10966
2024-01-17,226.34248
2024-01-18,242.77412
2024-01-19,261.11264
2024-01-20,271.0476
2024-01-21,272.88776
2024-01-22,279.39618
2024-01-23,288.7028
2024-01-24,316.8978
2024-01-25,328.327
2024-01-26,339.31854
2024-01-27,350.53738
2024-01-28,367.27563
2024-01-29,23.89458
2024-01-30,53.077675
2024-01-31,50.243538
2024-02-01,63.903984
2024-02-02,77.348785
2024-02-03,96.84958
2024-02-04,117.33581
2024-02-05,131.40453
2024-02-06,146.61307
2024-02-07,168.84824
2024-02-08,181.50816
2024-02-09,198.28928
2024-02-10,216.86983
2024-02-11,241.16695
2024-02-12,256.60184
2024-02-13,267.20752
2024-02-14,289.05804
2024-02-15,303.1491
2024-02-16,307.01263
2024-02-17,324.5597
2024-02-18,358.44193
2024-02-19,374.1643
2024-02-20,382.9023
2024-02-21,398.62683
2024-02-22,403.8139
2024-02-23,411.9979
2024-02-24,430.8911
2024-02-25,451.53082
2024-02-26,466.13287
2024-02-27,477.43173
2024-02-28,482.5902
2024-02-29,24.864353
2024-03-01,33.24986
2024-03-02,46.743366
2024-03-03,63.42704
2024-03-04,83.80521
2024-03-05,100.09113
2024-03-06,120.072266
2024-03-07,145.85045
2024-03-08,167.62029
2024-03-09,194.50409
2024-03-10,211.72598
2024-03-11,227.97849
2024-03-12,244.84497
2024-03-13,261.32928
2024-03-14,278.7155
2024-03-15,297.2931
2024-03-16,312.39658
2024-03-17,328.94162
2024-03-18,343.93213
2024-03-19,379.51605
2024-03-20,390.33398
2024-03-21,408.45615
2024-03-22,410.50958
2024-03-23,425.3532
2024-03-24,439.60742
2024-03-25,460.41437
2024-03-26,477.6552
2024-03-27,495.34842
2024-03-28,512.7214
2024-03-29,504.46463
2024-03-30,22.766981
2024-03-31,33.601482
2024-04-01,46.352818
2024-04-02,60.786102
2024-04-03,76.390884
2024-04-04,92.042946
2024-04-05,107.68083
2024-04-06,125.818405
2024-04-07,143.8197
2024-04-08,165.21619
2024-04-09,174.72499
2024-04-10,199.75616
2024-04-11,214.28452
2024-04-12,224.99623
2024-04-13,260.42975
2024-04-14,271.056
2024-04-15,282.76175
2024-04-16,293.30386
2024-04-17,300.3796
2024-04-18,307.00604
2024-04-19,317.6367
2024-04-20,339.76477
2024-04-21,350.87006
2024-04-22,360.88693
2024-04-23,387.59625
2024-04-24,393.03964
2024-04-25,401.47253
2024-04-26,413.90643
2024-04-27,431.03928
2024-04-28,434.9778
2024-04-29,421.78305
2024-04-30,19.228987
2024-05-01,26.868654
2024-05-02,41.0349
2024-05-03,54.82172
2024-05-04,69.41295
2024-05-05,77.69316
2024-05-06,91.57847
2024-05-07,106.30837
2024-05-08,122.29608
2024-05-09,135.28654
2024-05-10,146.59502
2024-05-11,174.14622
2024-05-12,186.72925
2024-05-13,198.68365
2024-05-14,218.95607
2024-05-15,228.3176
2024-05-16,252.11342
2024-05-17,266.59256
2024-05-18,271.25897
2024-05-19,275.7151
2024-05-20,288.34647
2024-05-21,294.39432
2024-05-22,313.94495
2024-05-23,325.26907
2024-05-24,335.9868
2024-05-25,348.2779
2024-05-26,361.5458
2024-05-27,366.571
2024-05-28,376.38248
2024-05-29,380.21234
2024-05-30,19.629726
2024-05-31,35.194016
2024-06-01,43.204693
2024-06-02,57.01715
2024-06-03,68.18344
2024-06-04,83.85994
2024-06-05,110.56361
2024-06-06,130.6603
2024-06-07,140.06715
2024-06-08,152.8859
2024-06-09,164.66095
2024-06-10,176.66154
2024-06-11,189.81071
2024-06-12,206.68715
2024-06-13,223.78271
2024-06-14,233.86671
2024-06-15,249.2851
2024-06-16,262.964
2024-06-17,263.0098
2024-06-18,276.38232
2024-06-19,285.96704
2024-06-20,300.26483
2024-06-21,333.2086
2024-06-22,345.97177
2024-06-23,358.5217
2024-06-24,370.04153
2024-06-25,382.5654
2024-06-26,379.22043
2024-06-27,388.8696
2024-06-28,392.91882
2024-06-29,390.47885
2024-06-30,20.311941
2024-07-01,27.27397
2024-07-02,30.13036
2024-07-03,41.131054
2024-07-04,50.8219
2024-07-05,61.602493
2024-07-06,72.21286
2024-07-07,80.26722
2024-07-08,90.731316
2024-07-09,103.76863
2024-07-10,112.37417
2024-07-11,123.75081
2024-07-12,137.86539
2024-07-13,154.13803
2024-07-14,164.2399
2024-07-15,174.95822
2024-07-16,184.51418
2024-07-17,193.08133
2024-07-18,204.05496
2024-07-19,215.56621
2024-07-20,222.69815
2024-07-21,239.42398
2024-07-22,260.34427
2024-07-23,269.72217
2024-07-24,269.92444
2024-07-25,278.56027
2024-07-26,295.56796
2024-07-27,302.8303
2024-07-28,314.9751
2024-07-29,317.61465
2024-07-30,295.45844
2024-07-31,15.041718
2024-08-01,31.415812
2024-08-02,44.70835
2024-08-03,53.46394
2024-08-04,65.777245
2024-08-05,80.50504
2024-08-06,89.49572
2024-08-07,100.73848
2024-08-08,110.45144
2024-08-09,120.15907
2024-08-10,132.67967
2024-08-11,141.39346
2024-08-12,157.53331
2024-08-13,171.47754
2024-08-14,184.792
2024-08-15,192.13106
2024-08-16,202.96147
2024-08-17,215.33559
2024-08-18,223.62173
2024-08-19,233.48344
2024-08-20,241.60953
2024-08-21,244.98126
2024-08-22,253.86133
2024-08-23,263.9166
2024-08-24,286.15427
2024-08-25,306.75317
2024-08-26,318.70697
2024-08-27,332.90555
2024-08-28,344.48215
2024-08-29,355.79474
2024-08-30,22.208994
2024-08-31,36.79108
2024-09-01,49.24038
2024-09-02,59.78307
2024-09-03,70.45168
2024-09-04,82.10843
2024-09-05,92.68535
2024-09-06,106.86131
2024-09-07,117.97326
2024-09-08,129.77275
2024-09-09,140.1229
2024-09-10,152.93584
2024-09-11,168.41922
2024-09-12,188.60973
2024-09-13,198.80652
2024-09-14,212.1812
2024-09-15,226.73488
2024-09-16,241.10405
2024-09-17,256.38528
2024-09-18,270.65585
2024-09-19,274.645
2024-09-20,285.22958
2024-09-21,293.83618
2024-09-22,316.3509
2024-09-23,343.58182
2024-09-24,356.20038
2024-09-25,371.43637
2024-09-26,392.30402
